,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzophenones; Benzophenones,1.3005874724554806e-05,0.0017742710489107795,0.00016876453689042997,5.031513925549115e-06,4.084977722315418e-06,0.0033167882557633335
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Gamma amino acids and derivatives",0.0026387986701086477,0.0013902254240206985,0.0009842134394543692,0.0013866794348710192,0.0026327136768666912,0.008893666769631358
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoethanolamines; Dialkylglycerophosphoethanolamines,0.0002203592056191737,0.00018247465945356214,1.4417435521523631e-05,0.00018319246741574455,0.00015264770580589835,2.3676147732616937e-05
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Cholestane steroids; Cholesterols and derivatives,0.0016406640351176605,0.0024604293461640337,0.0007648286597749503,0.001732942484185482,0.0017928301078343391,0.0006963918153181253
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Carbonyl compounds; Alkyl-phenylketones,0.0010555792968325658,0.0003037822712382575,0.0022483096508867898,0.0006160269946612448,0.00031960936665228134,0.002197054337977441
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indoles; Indoles,0.052116244636031386,0.06225942223530137,0.04310746379209589,0.052689814802394125,0.055994911628160206,0.04321186980746573
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Alcohols and polyols; Cyclic alcohols and derivatives,0.0005190180440689395,0.000457704429494459,0.0006459893658729434,0.0004574459677468605,0.0004052257076328429,0.0005686331522757879
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Monoterpenoids; Acyclic monoterpenoids,0.0002027912719395743,0.0001916736010304654,7.36569742901182e-05,0.00025298296576010097,0.0002666066425583825,7.583446994603081e-05
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Phenylalanine and derivatives",0.0669226383821288,0.06656903513304158,0.11867273206735435,0.060984632973475644,0.07166750353111516,0.10217285962288823
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Ynols; Ynols,0.0003988104190501719,0.00018061347825938236,0.0004932644844003463,0.00032359007960758117,0.00025077721854106647,0.0005462081018072402
Organic compounds; Benzenoids; Phenol ethers; Anisoles; Anisoles,0.0003657755473451309,5.66240480084749e-07,3.341019565938715e-05,0.000271017907565528,1.0513780422581568e-06,3.279576069226602e-05
Organic compounds; Organic acids and derivatives; Carboximidic acids and derivatives; Carboximidic acids; Carboximidic acids,0.00010022394732128292,0.00014706641220243704,7.949900286373974e-07,0.00010544588275222798,0.00011745996337814949,1.000833460115121e-06
Organic compounds; Organic acids and derivatives; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic phosphonic acids,0.007469189971102506,0.007796994661667177,0.003142423487556359,0.014498639675271825,0.01044775396725724,0.007787714259380514
Organic compounds; Organic acids and derivatives; Organic carbonic acids and derivatives; Ureas; Ureas,0.00036425445540207716,0.0003654956011737414,2.0319630081112835e-06,0.0004834868014768428,0.0005588632143156734,4.690502924952023e-06
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Pentahydroxy bile acids, alcohols and derivatives",0.0013216240889652039,0.0009944150969501417,0.001835756113375043,0.0012119754708798246,0.0010174943742006163,0.0018890330434543489
Organic compounds; Lipids and lipid-like molecules; Sphingolipids; Phosphosphingolipids; Phosphosphingolipids,0.0006192885642956618,0.0008355254988426581,2.252156300790545e-06,0.0006422197818899291,0.0007302003764654889,3.439042929575108e-06
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoethanolamines; Monoalkylglycerophosphoethanolamines,0.0018785074075289528,0.0026722403876767416,1.3006400249055934e-06,0.0017554593656348555,0.0024485068148871023,1.9943313545074686e-06
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphocholines; 1-(1Z-alkenyl)-glycero-3-phosphocholines,0.018468259394340603,0.018601322396365704,0.007384565295907415,0.015959611588017286,0.020047181677775066,0.00752623209267349
Organic compounds; Organic nitrogen compounds; Organonitrogen compounds; Quaternary ammonium salts; Carnitines,0.003827193731622724,0.0036489322628430014,0.003412293137892176,0.004143160974391728,0.0040142089068894455,0.004125371011814056
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Alpha amino acids and derivatives",0.00013446761565650604,0.00012864905049012545,5.116869476464366e-05,0.00011363399501517614,0.0001720424216229245,9.098940037760747e-05
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Very long-chain fatty acids,0.003588807945764169,0.0036257492006467316,0.0011310733371024631,0.003498702083401031,0.0033753082631309433,0.0011087804360414629
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Dihydroxy bile acids, alcohols and derivatives",0.0035446650084328076,0.0037947812028240537,0.00265061993665185,0.004252753781063616,0.0036502847956626835,0.0023294268538829265
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty alcohols; Fatty alcohols,0.0007107977758703634,0.0004846727177483578,0.0028588887648776378,0.0013836504142460974,0.0003668578917506591,0.002767585818813802
Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives; Bilirubins; Bilirubins,0.001968525707814359,0.0019543133494796983,0.009481690353721099,0.0017558659190134549,0.0013292447937200066,0.0034926825250687203
Organic compounds; Benzenoids; Benzene and substituted derivatives; Styrenes; Styrenes,0.01912325077019277,0.016095056290400055,0.025250829221953132,0.015197166970932877,0.018837264080469648,0.020265832833867337
Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Hydropyridines; Dihydropyridines,0.0004985967887343758,0.000245057485399367,0.0010052819812649467,0.0005275033943445759,0.00029996383701703743,0.0011261272894190794
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoserines; 1-acyl-glycerol-3-phosphoserines,9.36705920586498e-05,0.00013706264914386282,9.310800969794641e-06,8.849065829949631e-05,0.00010219629535353485,1.0487365299426269e-05
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty alcohols; Long-chain fatty alcohols,0.002366164051126331,0.0025370464799619585,0.00047615521110011257,0.002376858632726247,0.0025337164673077,0.0005667890947227493
Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Carboxylic acid derivatives; Tertiary carboxylic acid amides,0.00015125717330874506,0.00019308996577322747,0.00022919822811887726,0.00014147589800174893,0.0006803467367227665,0.0005456613099373388
"Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Diradylglycerols; 1,2-diacylglycerols",0.0014766662729392723,0.0010815277286163208,0.0020248986407747265,0.0012852501985111408,0.0012228941464629268,0.0019617765514802167
Organic compounds; Organoheterocyclic compounds; Diazinanes; Piperazines; N-arylpiperazines,1.2610077115366197e-06,1.260343706814684e-06,1.8256713016073458e-06,1.115930414658671e-06,1.0347990274669887e-06,1.7912120315821395e-06
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Ethers; Polyethylene glycols,0.00016316563655537498,0.00014743019866719754,0.00041546512992394596,0.00016996976424565673,0.0016936320373864369,0.0012745663845906109
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Peptides",0.0011715758432802093,0.0023230261841693557,0.0010820719499709847,0.001365920330811934,0.002297243051327867,0.0013187500690116068
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Diterpenoids; Diterpenoids,2.87232508292669e-05,5.7984876334533815e-05,6.683292312412587e-06,3.0509709819150223e-05,3.0966694475456025e-05,9.511747314883428e-06
Organic compounds; Organoheterocyclic compounds; Benzopyrans; unclassified; Benzopyrans,0.0037663670113600237,0.005049046852961091,0.0002220558306426214,0.0031755364376037376,0.003403032918960858,0.0002681931409407496
Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Monoradylglycerols; 1-monoacylglycerols,0.0013226569605922717,0.00073531341986316,0.0035739628386364983,0.001980012241029418,0.0007122731883999712,0.003454999543037928
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Carbohydrates and carbohydrate conjugates; O-glucuronides,0.00012021303405810575,0.00024478010788623244,1.040114603260584e-06,0.00013453582286031992,0.0002889822009261246,1.8500147616504164e-06
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Carbonyl compounds; P-benzoquinones,0.0001282610301335505,0.0001470658143419688,2.341802248037734e-05,0.00012967092255900992,0.0001374278195004307,2.405203821216754e-05
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides; Aminobenzenesulfonamides,0.009941504687517212,0.011351064934413615,0.0027193380832026305,0.01031504429845134,0.010695284692872113,0.002421535802489398
Organic compounds; Organic nitrogen compounds; Organonitrogen compounds; Amines; Trialkylamines,0.0008911310733511366,0.0007149775444872365,0.001072164843652664,0.0009351992403132228,0.001060300884860605,0.0010353857954906883
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Glycinated bile acids and derivatives",0.0034384259034567497,0.0039798195976031014,0.03923585140877688,0.0037276033049081806,0.004624093328682493,0.020295257895861254
Organic compounds; Organoheterocyclic compounds; Azoles; Imidazoles; Phenylimidazoles,0.00028951292275054504,7.078472982104958e-06,5.730647105253993e-05,0.0006741772540476312,3.2429835052197253e-06,8.394570727804806e-05
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Benzoic acid esters,0.004572154392996905,0.005640497449315592,0.005706618572280814,0.004741726265627911,0.0043471429442163275,0.0055089943036195224
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Medium-chain fatty acids,0.0006601191585422441,0.0007264442120961769,0.00020808399687873415,0.0006526484757074545,0.0006151662856730568,0.0002064381240694889
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Taurinated bile acids and derivatives",0.0003391730944949624,4.919978837581767e-05,0.007542019475680671,9.06969764226335e-05,0.0007542586067930412,0.001856903581845756
Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenylbutylamines; Phenylbutylamines,6.094287091053476e-07,4.578225848028714e-07,0.0001217128021524967,1.2979702770690528e-06,5.638596113195082e-07,1.6828097550840417e-05
Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenylacetamides; Phenylacetamides,0.0017663201172448755,0.0008679684765332154,0.0027561812648830846,0.0013036007317598834,0.0015597659505677075,0.0015575372307053792
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Leucine and derivatives",0.007744782659993944,0.002668303835365381,0.01784289922034485,0.005532675352530429,0.0039022045481777244,0.01844427854768273
Organic compounds; Phenylpropanoids and polyketides; Cinnamic acids and derivatives; Cinnamic acids; Cinnamic acids,0.0002785779810789993,0.00036796816157739283,0.0001521216768635015,0.00030515647484095893,0.00041274111128951596,0.0001295116103261555
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Hippuric acids,0.00044510204475818024,0.0007093591301825413,0.0011234288690546942,0.0004178891889823428,0.0007633994195177923,0.0008045256813443474
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty alcohol esters; Fatty alcohol esters,0.003033854828453283,0.0001737430879190135,0.007557784896377482,0.0026647163656775396,0.00021302336572856704,0.007874753381160296
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; p-Hydroxybenzoic acid alkyl esters,0.0028249230383754634,0.0033575359822341014,0.0009786884601594042,0.0030686762709974656,0.0025231962124122403,0.0011647130203671426
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Eicosanoids; Prostaglandins and related compounds,0.0002671086121124586,0.0003446574484859514,0.00013185255247933375,0.0002909526715648774,0.0003461087089724576,0.0001401255918213489
Organic compounds; Organic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Aryl phosphotriesters,0.00041803703846762384,0.0005734532751085064,2.463102647102818e-06,0.0006614185870643642,0.0005699620842309378,5.031201059949893e-06
Organic compounds; Phenylpropanoids and polyketides; Macrolides and analogues; unclassified; Macrolides and analogues,0.0026143592361691213,0.00163136468177058,0.0056118344202586695,0.0038523358953618104,0.0012422494123757494,0.010572592975099536
Organic compounds; Benzenoids; Phenols; Benzenediols; Catechols,1.999608640554242e-05,6.162756286801479e-06,4.3003615656321607e-07,1.8311978369810373e-05,4.900297462932965e-05,1.1491659085909033e-06
Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Bipyridines and oligopyridines; Bipyridines and oligopyridines,0.0007375093823348498,0.0004834877530482465,0.0007187290492937581,0.0006777613421741245,0.0005850354452221043,0.0005132012501690869
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphocholines; Glycerophosphocholines,0.0008441903974336468,0.0009226420994241897,0.0010735121959901284,0.0009234363881634357,0.001079312384706501,0.0010674746483688975
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Quinone and hydroquinone lipids; Vitamin E compounds,0.0007587240107960535,0.0006343459742312039,0.0010866487112409712,0.0008733190991786036,0.0007020791653351001,0.0012922324428684135
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Diterpenoids; Tigliane and ingenane diterpenoids,0.0007016759016906979,0.0010483292243190672,0.0006700890051086736,0.0019295212874522773,0.0011792448561893766,0.0007003360228677145
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Alpha amino acid esters",0.0010546722177048793,0.0017450296082991968,0.0015078024315371033,0.0013345475423357563,0.001044726574512167,0.0017085465296609627
Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives; unclassified; Tetrapyrroles and derivatives,0.004235089390408869,0.004682663454439624,0.005659460864112929,0.004367956754060903,0.0037545647856332093,0.004542676051977572
Organic compounds; Phenylpropanoids and polyketides; Stilbenes; unclassified; Stilbenes,1.451297358425028e-06,0.00012505167869214786,5.559080259712713e-07,1.2344717533411539e-06,7.946293134027359e-07,3.98161878143676e-07
Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenylphosphines and derivatives; Phenylphosphines and derivatives,0.00026455056088325684,0.0002716602198119967,0.00010446265776711938,0.0002529478806839748,0.000274853848028428,0.00012947168614521325
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Quinone and hydroquinone lipids; Tocopherols,0.001513219960505285,0.0014478054495391396,0.0009794540781721977,0.0013569932016877818,0.0009638964719261141,0.002628844811266412
Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenethylamines; Phenethylamines,5.7646415819684766e-05,3.422131713539147e-07,0.0003417084003220102,0.00021825993504301933,4.86847488546517e-07,0.00013134927200453855
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Ketenes; Ketenes,0.00027722086108238666,0.0001754366925937029,0.00021423480733610012,0.00027158619118791536,0.00014728738393586193,0.0002453687017050298
Organic compounds; Organic acids and derivatives; Organic phosphonic acids and derivatives; unclassified; Organic phosphonic acids and derivatives,0.000881410643937744,0.000703210529539801,0.0004293865923616276,0.0014044050598139657,0.0011457832983392665,0.0009450731874133518
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Alpha amino acid amides",0.00032414099379306964,8.615091354831891e-05,0.001222816203819918,0.00032589412652232264,7.782567490644343e-05,0.0014484031570782478
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphocholines; Phosphatidylcholines,0.0033336169581879324,0.0038866023162361756,0.0016845897997197232,0.0036452806600588803,0.003386034119218045,0.002018622159530915
"Organic compounds; Organoheterocyclic compounds; Triazines; Aminotriazines; 1,3,5-triazine-2,4-diamines",9.531090497138583e-05,0.00011749951915775649,3.3401604075180846e-06,0.00010091616148296464,7.810905037217807e-05,6.830346218296914e-06
Organic compounds; Organoheterocyclic compounds; Benzimidazoles; Sulfinylbenzimidazoles; Sulfinylbenzimidazoles,0.0010200249027104479,0.00037332753292527873,0.005192983151814754,0.000926999413754889,0.0010406338100571839,0.000617849727186199
Organic compounds; Organoheterocyclic compounds; Benzoxazines; Benzoxazinones; Benzoxazinones,0.0004085010746987432,0.00019103348643166742,0.0005047654593357978,0.0003042407831530667,0.0002734706749414252,0.00034610370761865204
Organic compounds; Benzenoids; Benzene and substituted derivatives; Biphenyls and derivatives; Biphenyls and derivatives,4.973779412032617e-06,4.701804089278165e-06,0.0003212626171300235,2.9122597415758055e-05,1.8947420120001647e-05,0.0009130713156985661
