	cdf8d23687cfc324485e2bd3e0094ff2	fb758530086adf438d5ebe8f83847f2d	d2ef3361261cc1d835ad59394bfe161c	0ba75f593218ef056eefaeab285ae839	3d7f155024af16ecbe4c9baefdd571be	c0095c69fee5c767903814b366fcb860	54e3ef405d9d82cfed4858f3191c2522	6ba039413a4b798ba234b05c568ff300	53cb1796cbb423bcd59853acdf63befe	f7dd0dbd9e8f975d44295498a1c3aa85	2edf779ef11d889a9532e620fda1bbf2	144080b4b2ddd9a2ccc1c5c8d094e2db	9e2c7416a860af0b0d508dba6fc92435	41ac582194f67aa6ab674ec82573c2b5	db77705855bc4611e9c4fedca4b4f926	2185af0fb67a28d45ca0b367331adc90	5852572a553ed731a4e55f2f31166213	0c959ee3a5a474df1114c327dd8cdcac	8906c43cbd5e72d65ed9e7aacd1c2321	94339fd999feeede310ccc2e5c29c13b	5b4e936782da10249603e94105689a6f	4deeef4aa3231abf469afec860b7b1ea	4508ce20c9b99a6e1c24fd3afdbc1e2f	2984aa4bc8addecd801f5101d8dd139b	6383ad32dcb0746a9105d5b2889e4d94	901b6e2bf2d45cfa9b38a99784cd0459	2eb15a6e35d5214137b1f0571d4c31b2	ae800abf76b2463f243462d0087f24be	87b2ee3ab5930cf0663d663ff1b3c524	c4072a4cebaed2ae18764f402d5b8c43	5d6c8094421e22fa24e09de3169f49b4	2979c877ea3a9babda609affb260668c	c1aa71656d6e2ef3535930d0b09ca012	71b646c82731aa8e14f60ee428337721	2fc1c858776003addaf081a465cda6d7	b1641320e489f96bb9ddd6b08a7e574e	9485b85b5c81043b85a849131809c92b	9b58756d5fe505a4cd0ab4917e5e3ce3	f3c9367e79341d7de4456c32b588b86f	832c0802efe61204586cbbefee574d43	d49b933216498ccb080d8aa7ce5d3902	35def52a34fbd75d08ef99a87b5251da	c105049a81dcab19d86f141a691ab5fb	28a02f8e5fcae1d3b8d41678bf1276fd	2ed762ffceda0c2dc67e9ae95d1fb858	178929d3e7f149a19dbd6b0edc66633b	076048a24f2e01c5f6b07bfcde6bbcd5	d2db4c8806f5f6a40fee293cb4f88f7d	7d77e5a1807f89e7ee7cf109a12d0048	8e1376b2f43f2b926aa075c7f8c32783
CIR4-002	0.0	0.0	120582.5485	0.0	20588.767	179922.8565	0.0	5408.0675	212581.1025	0.0	18179.0405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208065.6155	0.0	0.0	13967.7515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6498.533	0.0	0.0	0.0	11999.907	24500.2035	0.0	50521.1685	0.0
CIR57-002	0.0	0.0	0.0	0.0	0.0	0.0	29581.3465	5150.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6697.9445	35474.741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13049.746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR42-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR61-002	0.0	0.0	0.0	0.0	0.0	0.0	48175.8865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12228.7045	0.0	28447.9895	5459.038000000001	0.0	0.0	0.0	0.0	33624.4495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26546.1255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR20-001	0.0	0.0	0.0	0.0	0.0	0.0	9759.3045	0.0	0.0	0.0	0.0	6298.55	0.0	0.0	0.0	7315.974	0.0	0.0	0.0	17973.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6570.294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9943.912	0.0	0.0	0.0	0.0	0.0	23969.751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR20-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR51-005	0.0	0.0	5567.0545	0.0	0.0	8496.3765	6680.443	0.0	10794.287	0.0	7631.724	0.0	6402.978	0.0	0.0	0.0	0.0	0.0	0.0	8639.655999999999	13192.79	5270.0165	16396.315	0.0	5640.3319999999985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14758.684	0.0	0.0	0.0	7175.273	0.0	0.0	0.0	0.0	0.0	0.0	9947.944	0.0	0.0	0.0	0.0	0.0	14444.4635
CIR4-003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5810.3275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6180.1825	0.0	0.0	0.0	0.0	0.0	14430.7495	0.0	103836.3225	53371.7765	0.0	0.0	0.0	0.0	6035.2085	5708.5305	0.0	24732.346	0.0	0.0	0.0	28904.4275	0.0	0.0	381367.9365
CIR18-002	0.0	0.0	0.0	0.0	0.0	5038.449000000001	0.0	17090.881	8079.6545	17202.738	0.0	12713.0955	0.0	13846.9755	5370.7335	22704.0615	8693.3665	0.0	0.0	10399.8645	10247.3965	0.0	8393.893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8431.962	0.0	0.0
CIR41-001	19533.3375	25326.105	19334.7645	20640.6355	8914.386	54058.665	0.0	0.0	62090.832	0.0	0.0	0.0	0.0	0.0	20756.3845	0.0	0.0	0.0	0.0	0.0	44926.8155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6342.5055
CIR63-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12189.7425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52353.4135	0.0	0.0	0.0	0.0	0.0
CIR19-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR5-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52919.0555	0.0	0.0	73084.709	0.0	0.0	0.0	0.0	0.0	0.0	18256.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR55-002	0.0	0.0	0.0	0.0	0.0	0.0	27556.5315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18008.683999999994	0.0	75376.19099999999	5211.4615	16090.8005	0.0	293031.1605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38489.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19848.7525
CIR26-002	42007.756	59620.4735	53257.4495	55327.543	0.0	114922.3455	0.0	0.0	113913.113	0.0	0.0	0.0	0.0	0.0	59258.77	32203.9755	0.0	21705.3055	0.0	0.0	111572.997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30912.994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5362.26
CIR5-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10726.887	0.0	0.0	0.0	0.0	0.0	6616.502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR55-001	0.0	0.0	0.0	0.0	0.0	0.0	12830.296	0.0	0.0	0.0	0.0	0.0	0.0	22738.344	0.0	51312.27099999999	20301.0475	68369.0915	0.0	12780.0755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIR7-001	5421.9445	0.0	5897.0430000000015	5322.5995	0.0	14122.4635	0.0	0.0	14844.1285	0.0	0.0	0.0	0.0	9506.212	5116.231	10395.2805	9113.535	0.0	0.0	18381.691000000006	13839.426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19772.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
