,G1P,G2P,G3P,G1R,G2R,G3R
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Peptides",0.008461727946694138,0.011037486442584033,0.008387920381338242,0.008951920622073428,0.008782748025014095,0.014019854378829527
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Steroidal alkaloids; 22,26-epiminocholestanes",0.009387917111859613,0.003894326268825166,0.0028476757539562607,0.012777156754234999,0.010448611740623835,0.013115633172828019
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Alpha amino acids",0.001699585476754367,0.0009713178925545357,0.0011676482311689016,0.002985284730719504,0.0059805072785411644,0.001170152775264335
"Organic compounds; Organic nitrogen compounds; Organonitrogen compounds; Amines; 1,3-aminoalcohols",0.0008357883134983967,0.00041752288615768535,0.0001923556627695734,0.00030513607174157624,0.0002458976595538507,0.0
Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives; Porphyrins; Porphyrins,0.0054938602135445255,0.006817950531979953,0.0023865783080643972,0.003497826513146369,0.016512491310026356,0.0024553363992706294
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides; Aminobenzenesulfonamides,0.011448657920895852,0.009827850011515019,0.008973878729662307,0.016823910264227433,0.008312728973806588,0.008316627730183193
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty amides; N-acyl amines,0.006772445320911031,0.0071075640545346,0.0006015324704289405,0.005712176086672855,0.010209073083697933,0.0022311883412468184
Organic compounds; Organic nitrogen compounds; Organonitrogen compounds; Amines; N-acylethanolamines,0.003088993812211105,0.008823971822422045,0.02061074582024546,0.004946446137495946,0.0027722765457796196,0.006221450489209746
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; N-acyl-alpha amino acids",0.009122441059179906,0.024280286558179327,0.005744485234443575,0.010985053222467156,0.006822180272666405,0.006264035453225475
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Steroidal alkaloids; Solanidines and derivatives,0.010691951918994694,0.0038979132216307,0.004597778345194613,0.0031528913195798198,0.004373031839646154,0.01151203041456734
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indolyl carboxylic acids and derivatives; Indolyl carboxylic acids and derivatives,0.04685742832748307,0.0744252321351214,0.07206915217483117,0.06028870650951593,0.06797968153588255,0.06262204223083524
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Salicylic acids,0.00029900836013496695,4.919371239701466e-05,0.0,0.0003066222044756732,0.0001369831421125674,0.0001367023234403802
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Ethers; Polyethylene glycols,0.002123305508585404,0.0017599326165126093,0.00845982187512238,0.001377135696750824,0.0009811982061491312,0.014900683610420181
Organic compounds; Alkaloids and derivatives; unclassified; unclassified; Alkaloids and derivatives,0.01876422072221341,0.0019737753345458442,0.0035831682649066603,0.00786419869154488,0.0033152180760357736,0.006024932760926094
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoyl derivatives; Benzoyl derivatives,0.0006955273740504246,0.00139482850455103,0.0001359292793077626,0.0005151801422587285,0.0007488102213505438,0.0005620925657044923
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Wax monoesters,0.0009965299529267923,0.0003340148209403233,0.00042487947617399826,0.0007901999898688247,0.0011278869098044417,0.0003158357924887175
Organic compounds; Organoheterocyclic compounds; Benzodioxoles; unclassified; Benzodioxoles,0.00627518305960634,0.0022596352287222884,0.001139324827235311,0.0017303285777321997,0.0008298281089468472,0.0017428069034562809
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Diterpenoids; Isocopalane and spongiane diterpenoids,0.009467965082030894,0.0,0.00035386974635663024,0.003277993742633313,0.001951415759247755,0.011755211417981172
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Ynols; Ynols,0.0025319185555376027,0.002441416967546114,0.00033863266685686547,0.0023479936776325443,0.0030276796457364414,0.001530942547406085
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Androstane steroids; Androgens and derivatives,0.020361762272116148,0.003282345508647243,0.009675223616871918,0.014232964883751417,0.008815742107422508,0.012780395382672794
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Hydroxyindoles; Hydroxyindoles,0.0012471851028945467,0.00047483857202997346,0.0012441176235358001,0.004805590971852651,0.0025273850391950713,0.0018381969304082787
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Beta amino acids and derivatives",0.0031058493075986162,0.003091143968797985,0.010011117132834112,0.006246761579135485,0.009566059657089296,0.01908762466625405
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Medium-chain fatty acids,0.001589845620933552,0.0037801092484264264,0.0008514535838259775,0.0013195149276505496,0.002299501477815616,0.002714669540895224
Organic compounds; Organoheterocyclic compounds; Imidazopyrimidines; Purines and purine derivatives; Xanthines,0.0014080615271270577,0.002197109465288808,0.0012257563466272217,0.0017889823835999783,0.001242726854924414,0.0022526190986366258
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indolyl carboxylic acids and derivatives; Indole-3-acetic acid derivatives,0.001896354955429891,0.0012636347285880877,0.002618382040168355,0.002658533867725018,0.0018056223227780209,0.01099540684097212
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Fatty acid esters,0.0028635432512773905,0.0022144565865321398,0.0030457576446767947,0.003103595512010816,0.000988575757482355,0.0017200611815592344
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoethanolamines; 1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,0.0004589843160923306,0.002377723345129964,0.0012482897028635105,0.0009134507463783137,0.0029853760072238865,0.0008774959402417233
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indoles; Indoles,0.010189704754244166,0.020241932592889034,0.01987752551865194,0.017470197660092196,0.01732623452205592,0.014919571808684452
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indolecarboxylic acids and derivatives; Indolecarboxylic acids and derivatives,0.00010687802970783317,0.0003757934642023333,0.0011577891310234104,0.0011852011385739198,0.00022459104745070296,0.006025453699010036
Organic compounds; Benzenoids; Benzene and substituted derivatives; Nitrobenzenes; Nitrophenyl ethers,0.0007276689997354398,0.001286204157422888,0.00016888212373180204,0.001480095645847573,0.0018131808810700582,0.0006160579619555925
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Tyrosine and derivatives",0.0026564979737614034,0.0013379426176726825,0.0004090404977817112,0.0005342106961394175,0.000539838312377909,0.0012169762716484666
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphocholines; 1-acyl-sn-glycero-3-phosphocholines,0.0009971119113107683,0.00034043184259238197,0.0035647227718184123,0.0007502868389523592,0.0004678905137298684,0.002009225054647275
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Eicosanoids; Other hydroxyeicosapolyenoic acids,0.00012045899933413326,0.0007099981540908084,0.0018168569064398049,0.0008040125076458167,0.0,0.0002907735817741887
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Sesquiterpenoids; Sesquiterpenoids,0.0009195280065941962,0.0001384522542141053,6.525004909021929e-05,0.00035645751324004765,0.0011887006938939636,0.0012633514747008572
Organic compounds; Benzenoids; Benzene and substituted derivatives; N-phenylureas; N-phenylureas,0.00013109828905273402,0.0,8.778475775941501e-05,0.0,0.0001390673363807856,4.916269889938031e-05
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoethanolamines; 1-acyl-sn-glycero-3-phosphoethanolamines,0.0005109015181999487,0.00033375523031810436,4.7920478973050846e-05,0.0006056425363363976,0.0033063494929058404,0.000338313443717324
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty aldehydes; Fatty aldehydes,0.000749251417398389,0.0008869771436524462,0.0027698521025578166,0.0010784334299653775,0.00035499563919030126,0.0007580766282945079
Organic compounds; Benzenoids; Phenol ethers; Aminophenyl ethers; Aminophenyl ethers,0.000192909128512588,0.00026430584031470334,0.0,0.00018063131852759227,0.00016849761928472673,0.0004114700364317819
Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives; unclassified; Tetrapyrroles and derivatives,0.0013659330101630975,0.0004687852635168557,0.0010096701414208627,0.0025612544340963385,0.0030666150372889362,0.004798598185275338
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Fatty acid methyl esters,0.0011402550648347439,0.0010474203256599962,0.004392237848663319,0.0022901300170432423,0.005342789098247334,0.0008733978390127553
Organic compounds; Organoheterocyclic compounds; Benzopyrans; unclassified; Benzopyrans,0.002647041810984227,0.003032207704751871,0.0008056268265745298,0.0011277871854979637,0.003426027319949138,0.003414893140389611
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Triterpenoids; Triterpenoids,0.0014080752940675344,0.00237305362232044,0.002648678279255041,0.003006341384590891,0.004541625092663638,0.001097846039032549
"Organic compounds; Organoheterocyclic compounds; Imidazopyridines; Imidazo-[4,5-c]pyridines; Imidazo-[4,5-c]pyridines",0.00031154008035179956,0.0,5.6565883076436016e-05,0.0,0.00017850629790415278,0.0002937813103000916
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Cholestane steroids; Cholesterols and derivatives,0.0009983296078857852,0.0009212743198598054,0.00015551801158992723,0.0008146908100825537,0.0021475357451014123,2.9271313540390447e-05
Organic compounds; Organoheterocyclic compounds; Piperidines; N-acylpiperidines; N-acylpiperidines,0.00018108583624682224,0.0,2.2598744858603293e-05,5.550647028532503e-05,0.0,8.508100933525529e-05
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Phenylalanine and derivatives",0.0029739609299043856,0.005000349123533291,0.0044928234522999076,0.004467394792585158,0.0028710813967515883,0.0034779942906611036
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Leucine and derivatives",0.003968761393906779,0.010121362178094001,0.0031407874969999906,0.003601276837670581,0.005655809478534511,0.0035605356700983658
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indoles; 3-alkylindoles,0.00013119243934970337,0.00020234234740168082,9.196418731902997e-05,0.0,0.00025651540809506893,0.00023300904975999157
Organic compounds; Organoheterocyclic compounds; Benzimidazoles; unclassified; Benzimidazoles,0.0005872946947467186,0.0,0.0004495505426009955,0.0,0.0,0.0003120097283850909
Organic compounds; Benzenoids; Benzene and substituted derivatives; Biphenyls and derivatives; Biphenyls and derivatives,0.027226866402025776,0.0,0.013114281641438283,0.017198920385521118,0.024031174934191844,0.033362338051701634
Organic compounds; Phenylpropanoids and polyketides; Flavonoids; O-methylated flavonoids; 7-O-methylated flavonoids,0.0001333382359958537,0.0,6.923980632160168e-05,0.0,0.00106425703903553,0.0
Organic compounds; Organoheterocyclic compounds; Diazines; Pyrimidines and pyrimidine derivatives; Hydropyrimidines,0.0007864457058085264,0.0007927627853510709,0.0002515281413151175,0.0002996780682597793,0.0003790912105223098,0.00047143746750553424
Organic compounds; Lipids and lipid-like molecules; Sphingolipids; Ceramides; Ceramides,0.001377665492833582,0.0,0.000434101514817033,0.00013814408303803975,0.0,0.00011294357265429198
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Aminobenzoic acids,0.0017003810344348028,0.003572066660389826,0.0,0.0007979137272210504,0.00030691163815379575,0.0
Organic compounds; Lipids and lipid-like molecules; Sphingolipids; Ceramides; Long-chain ceramides,0.004468883534486436,0.0008353605317992948,0.00018606909162688663,0.00029567483820092685,0.0011361695249478155,0.0003119299738954969
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Ergostane steroids; Ergosterols and derivatives,0.000332018004556026,0.000155431040752993,0.0,9.57061664003765e-06,0.0,8.391962628394423e-05
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Hydroxybenzoic acid derivatives,0.00031275533331970003,0.0015842883402836315,0.0,0.0005563631424060602,0.0001947192967986475,0.00013593993008671298
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Methyl-branched fatty acids,0.00047658081494543275,0.0010335564970465542,0.0003286795097884911,3.21052730271239e-05,0.0,0.00023408609321547526
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoethanolamines; Monoalkylglycerophosphoethanolamines,7.779488648893575e-05,5.401184283435225e-05,0.00011670472978503518,0.00015466322555287256,0.0,3.3266218159512146e-05
Organic compounds; Organoheterocyclic compounds; Azolidines; Imidazolidines; Imidazolidinones,0.00019539347720053986,0.00029343937746928136,0.0,0.0003189649969231088,0.0,0.0
"Organic compounds; Organoheterocyclic compounds; Benzopyrans; 1-benzopyrans; 2,2-dimethyl-1-benzopyrans",0.0004775635707622913,0.0015115498423976781,0.0003978300776244666,0.00037289404423966144,0.0018903894628479621,0.0
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Carbohydrates and carbohydrate conjugates; Aminosaccharides,0.001453553908474461,0.0057268843741285855,0.0015788632627357028,0.00305617036666342,0.00120406256383554,0.001291807916318031
Organic compounds; Organoheterocyclic compounds; Quinolines and derivatives; Quinoline carboxylic acids; Quinoline carboxylic acids,0.0005829334619530577,0.0005328140139132589,6.560996001489531e-05,0.00028448357018039805,0.0017468534204814995,0.0004207537211260353
