,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds;  Lipids and lipid-like molecules;  Glycerophospholipids;  Glycerophosphocholines,0.0009219500105313548,0.000316785600144211,0.0032784423434211083,0.0007038699554389165,0.0004576406014292886,0.001841484660004973
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Eicosanoids,0.00010639477192347106,0.0006163020458483906,0.0016465425721200282,0.0006973675089148744,0.0,0.00026635713285849325
Organic compounds;  Lipids and lipid-like molecules;  Prenol lipids;  Sesquiterpenoids,0.000977291034695038,0.00015006427355296022,7.067320822193404e-05,0.0003946929068262482,0.0013038211819786795,0.0013546993818776465
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  N-phenylureas,0.00014935812008603561,0.0,9.776888918551367e-05,0.0,0.00015877722743869272,5.3664767153972604e-05
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Fatty aldehydes,0.00087976761174292,0.0009421050943536215,0.0029834379234098315,0.0011794475475153125,0.00038478601912413985,0.000837526300541167
Organic compounds;  Benzenoids;  Phenol ethers;  Aminophenyl ethers,0.00019309215318802115,0.0002912593716816889,0.0,0.0001833968064123072,0.00017684381653630235,0.0004384685951870857
Organic compounds;  Lipids and lipid-like molecules;  Prenol lipids;  Triterpenoids,0.00159054082010729,0.002749173063452333,0.0029328586724788803,0.0033431492926328356,0.005013086408076258,0.0012017173894249944
"Organic compounds;  Organoheterocyclic compounds;  Imidazopyridines;  Imidazo-[4,5-c]pyridines",0.0003095703686166406,0.0,5.780873283534568e-05,0.0,0.0001781781129831855,0.00029725182268379175
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Cholestane steroids,0.0012882534282637127,0.000939023048187604,0.00015809437837945652,0.0008283936747119598,0.0021758085399169284,2.8842662981281957e-05
Organic compounds;  Organoheterocyclic compounds;  Piperidines;  N-acylpiperidines,0.0002371491492400093,0.0,2.405298509063902e-05,6.97788539792483e-05,0.0,9.11507785467441e-05
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Biphenyls and derivatives,0.027747884452866915,0.0,0.013052057941912392,0.017347627631370988,0.023832271693686402,0.03277140889168769
Organic compounds;  Phenylpropanoids and polyketides;  Flavonoids;  O-methylated flavonoids,0.00013553481732228882,0.0,7.410871618837223e-05,0.0,0.0011619027352285695,0.0
Organic compounds;  Lipids and lipid-like molecules;  Sphingolipids;  Ceramides,0.006240093236657144,0.0008287094459170878,0.0006816624237042318,0.00044902872537321134,0.0011324851960811374,0.0004579491845652927
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Ergostane steroids,0.00035193703600720777,0.00016875060316844814,0.0,9.60583519990022e-06,0.0,8.315700409537981e-05
Organic compounds;  Organoheterocyclic compounds;  Azolidines;  Imidazolidines,0.00020813659040565084,0.0003400225176204106,0.0,0.00033455127245424725,0.0,0.0
